vp,timestamp,trial,rt,resp,mean_rt
1,20260107_153601,1,NaN,NaN,0.776922159124903
1,20260107_153601,2,NaN,NaN,0.776922159124903
1,20260107_153601,3,0.686061291955411,1,0.776922159124903
1,20260107_153601,4,0.633939666964579,1,0.776922159124903
1,20260107_153601,5,0.774747917021159,1,0.776922159124903
1,20260107_153601,6,1.20861820800928,0,0.776922159124903
1,20260107_153601,7,0.934798959002364,0,0.776922159124903
1,20260107_153601,8,1.00681483297376,1,0.776922159124903
1,20260107_153601,9,0.829365458979737,1,0.776922159124903
1,20260107_153601,10,1.32577366702026,0,0.776922159124903
1,20260107_153601,11,0.822859750012867,1,0.776922159124903
1,20260107_153601,12,0.93354083300801,0,0.776922159124903
1,20260107_153601,13,1.00255679199472,0,0.776922159124903
1,20260107_153601,14,0.993910292047076,0,0.776922159124903
1,20260107_153601,15,0.894337709003594,1,0.776922159124903
1,20260107_153601,16,0.950911166961305,0,0.776922159124903
1,20260107_153601,17,1.00674224999966,1,0.776922159124903
1,20260107_153601,18,1.02503295795759,0,0.776922159124903
1,20260107_153601,19,0.776826167013496,1,0.776922159124903
1,20260107_153601,20,1.01832475000992,0,0.776922159124903
1,20260107_153601,21,0.976899500004947,0,0.776922159124903
1,20260107_153601,22,0.882456666964572,1,0.776922159124903
1,20260107_153601,23,0.647103791998234,1,0.776922159124903
1,20260107_153601,24,0.739477250026539,1,0.776922159124903
1,20260107_153601,25,0.804147584014572,0,0.776922159124903
1,20260107_153601,26,0.797109667037148,1,0.776922159124903
1,20260107_153601,27,0.989645083027426,0,0.776922159124903
1,20260107_153601,28,0.357071584032383,1,0.776922159124903
1,20260107_153601,29,0.952831542002968,1,0.776922159124903
1,20260107_153601,30,0.437145500036422,0,0.776922159124903
1,20260107_153601,31,0.590708209027071,1,0.776922159124903
1,20260107_153601,32,0.346964916971046,1,0.776922159124903
1,20260107_153601,33,0.476719083031639,1,0.776922159124903
1,20260107_153601,34,0.536987166968174,1,0.776922159124903
1,20260107_153601,35,0.616641125001479,1,0.776922159124903
1,20260107_153601,36,0.830154458992183,1,0.776922159124903
1,20260107_153601,37,0.523015166982077,1,0.776922159124903
1,20260107_153601,38,0.48625458398601,1,0.776922159124903
1,20260107_153601,39,0.692910708952695,1,0.776922159124903
1,20260107_153601,40,0.712918082950637,0,0.776922159124903
1,20260107_153601,41,1.64841295895167,0,0.776922159124903
1,20260107_153601,42,0.634791834047064,1,0.776922159124903
1,20260107_153601,43,0.677877417008858,1,0.776922159124903
1,20260107_153601,44,1.00763837603154,1,0.776922159124903
1,20260107_153601,45,0.65111837501172,1,0.776922159124903
1,20260107_153601,46,0.5652867089957,1,0.776922159124903
1,20260107_153601,47,0.424098042014521,1,0.776922159124903
1,20260107_153601,48,0.581396916997619,1,0.776922159124903
1,20260107_153601,49,0.329281624988653,1,0.776922159124903
1,20260107_153601,50,0.550037042004988,1,0.776922159124903
