vp,timestamp,trial,rt,resp,mean_rt
VP01,20260107_161108,1,0.552381584013347,1,0.598800729819341
VP01,20260107_161108,2,0.555396708950866,0,0.598800729819341
VP01,20260107_161108,3,0.532169084006455,1,0.598800729819341
VP01,20260107_161108,4,0.619838542013895,0,0.598800729819341
VP01,20260107_161108,5,0.577062333992217,1,0.598800729819341
VP01,20260107_161108,6,0.566245125024579,0,0.598800729819341
VP01,20260107_161108,7,0.522605500998907,0,0.598800729819341
VP01,20260107_161108,8,0.760438375000376,0,0.598800729819341
VP01,20260107_161108,9,0.589532291982323,0,0.598800729819341
VP01,20260107_161108,10,0.423550834006164,1,0.598800729819341
VP01,20260107_161108,11,0.441078041971195,0,0.598800729819341
VP01,20260107_161108,12,0.620839668030385,1,0.598800729819341
VP01,20260107_161108,13,0.669665500987321,1,0.598800729819341
VP01,20260107_161108,14,0.492210208962206,0,0.598800729819341
VP01,20260107_161108,15,0.602779375971295,0,0.598800729819341
VP01,20260107_161108,16,0.652695250988472,0,0.598800729819341
VP01,20260107_161108,17,0.501479625003412,0,0.598800729819341
VP01,20260107_161108,18,0.899170459015295,0,0.598800729819341
VP01,20260107_161108,19,0.753074084001128,1,0.598800729819341
VP01,20260107_161108,20,0.620972667005844,1,0.598800729819341
VP01,20260107_161108,21,0.562818418024108,0,0.598800729819341
VP01,20260107_161108,22,0.693498542008456,1,0.598800729819341
VP01,20260107_161108,23,0.602101167023648,0,0.598800729819341
VP01,20260107_161108,24,0.581780501001049,0,0.598800729819341
VP01,20260107_161108,25,0.481228001008276,0,0.598800729819341
VP01,20260107_161108,26,0.433660583978053,0,0.598800729819341
VP01,20260107_161108,27,0.468745918013155,0,0.598800729819341
VP01,20260107_161108,28,0.558293042005971,0,0.598800729819341
VP01,20260107_161108,29,0.676947751024272,0,0.598800729819341
VP01,20260107_161108,30,0.540249917015899,1,0.598800729819341
VP01,20260107_161108,31,0.630648958962411,0,0.598800729819341
VP01,20260107_161108,32,0.62851958401734,0,0.598800729819341
VP01,20260107_161108,33,0.550419459003024,1,0.598800729819341
VP01,20260107_161108,34,0.683156791958027,0,0.598800729819341
VP01,20260107_161108,35,0.619822083972394,0,0.598800729819341
VP01,20260107_161108,36,0.561591875972226,0,0.598800729819341
VP01,20260107_161108,37,0.573471584008075,0,0.598800729819341
VP01,20260107_161108,38,0.698825041996315,1,0.598800729819341
VP01,20260107_161108,39,0.613487376016565,0,0.598800729819341
VP01,20260107_161108,40,0.686470751010347,1,0.598800729819341
VP01,20260107_161108,41,0.619122584001161,1,0.598800729819341
VP01,20260107_161108,42,0.519295083999168,1,0.598800729819341
VP01,20260107_161108,43,0.747775833995547,1,0.598800729819341
VP01,20260107_161108,44,0.683673374995124,1,0.598800729819341
VP01,20260107_161108,45,0.569971458986402,0,0.598800729819341
VP01,20260107_161108,46,0.57160958397435,1,0.598800729819341
VP01,20260107_161108,47,0.62437829200644,1,0.598800729819341
VP01,20260107_161108,48,0.609497626021039,0,0.598800729819341
VP01,20260107_161108,49,0.600216209015343,1,0.598800729819341
VP01,20260107_161108,50,0.595573834027164,1,0.598800729819341
